gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	gene_type
ENSG00000115841.21	398.63780867171	-2.9852814015991	0.172568987592168	5.73551494864582e-68	1.71738524107302e-63	RMDN2	protein_coding
ENSG00000105607.13	2280.15675442095	-3.28006711105277	0.191962607848011	2.85331256983472e-66	4.27183691392805e-62	GCDH	protein_coding
ENSG00000042781.14	556.075540270394	-6.15581283481202	0.368238983428214	2.08861894057674e-64	2.08465056458964e-60	USH2A	protein_coding
ENSG00000179152.20	1242.79575118874	-2.2287175161136	0.136639118472411	3.82142329293804e-61	2.8606219415111e-57	TCAIM	protein_coding
ENSG00000052802.13	7627.26150129146	-3.69738270618535	0.228864581697546	1.76322160173677e-59	1.05592288841608e-55	MSMO1	protein_coding
ENSG00000060971.19	6237.09010977527	-3.75166584884675	0.236839910049751	2.75026705898046e-57	1.3725207757842e-53	ACAA1	protein_coding
ENSG00000080709.16	363.991468243301	-5.33915235719698	0.339945885044857	8.29213397663157e-57	3.54701953803256e-53	KCNN2	protein_coding
ENSG00000120158.12	2392.19675995171	-3.83444180342374	0.248274679196036	1.36510755213176e-54	5.10942692918515e-51	RCL1	protein_coding
ENSG00000148672.9	17346.9540540116	-3.2438416323489	0.211074908013215	3.95177543934438e-54	1.31475568866988e-50	GLUD1	protein_coding
ENSG00000162688.17	1924.05778946134	-2.66405324923874	0.176607463642104	1.56299308071649e-52	4.68007018158939e-49	AGL	protein_coding
ENSG00000182551.14	11648.0361262016	-3.46663540832162	0.229232425315457	1.86867692791838e-52	5.08670847751455e-49	ADI1	protein_coding
ENSG00000109929.10	4356.268719335	-3.89927107393635	0.258140584772381	2.43918811423037e-52	6.08638414203333e-49	SC5D	protein_coding
ENSG00000121691.7	15631.3414094953	-3.95461608556675	0.262239065399901	3.51286047083179e-52	8.09119854447047e-49	CAT	protein_coding
ENSG00000205707.11	1048.8764423541	-2.60594608018412	0.175269181879356	3.71596010961367e-51	7.9476423972973e-48	ETFRF1	protein_coding
ENSG00000133027.18	1436.40633150853	-3.68493922584564	0.247426300289287	6.11317696574071e-51	1.22031238590116e-47	PEMT	protein_coding
ENSG00000102967.12	2072.15778641293	-3.40382548796874	0.229611366281806	1.624432384116e-50	3.04002367984908e-47	DHODH	protein_coding
ENSG00000059769.20	801.843080164438	-2.88974639946818	0.198763091947664	7.14815115915501e-49	1.18909494532544e-45	DNAJC25	protein_coding
ENSG00000094631.21	3778.25494868708	-2.15153291516618	0.14984665976528	4.26469388044649e-48	6.38488644311046e-45	HDAC6	protein_coding
ENSG00000023330.15	7389.86359882702	-3.71101032882811	0.258411173123397	1.51243128795781e-47	2.0584877297873e-44	ALAS1	protein_coding
ENSG00000213398.8	3487.34985750739	-4.44981109969855	0.319348134004666	4.95997212941663e-45	6.18818522796342e-42	LCAT	protein_coding
ENSG00000171503.12	2381.4542493079	-3.74331302999038	0.269763946455462	1.45347185721534e-44	1.67389645463842e-41	ETFDH	protein_coding
ENSG00000171723.16	1057.7107858915	-2.66827082851953	0.193321817184823	1.87390528912436e-44	2.07816096563891e-41	GPHN	protein_coding
ENSG00000152760.10	71.0294676727881	-4.35986377285284	0.316093216707343	3.73219715567328e-44	3.9911849797259e-41	TCTEX1D1	protein_coding
ENSG00000106993.12	1433.54149819028	-2.47082194060327	0.181438896205258	1.81182905556704e-43	1.80838658036147e-40	CDC37L1	protein_coding
ENSG00000196177.13	9778.90263024138	-4.74715917128292	0.348007300271232	2.32444046477995e-43	2.245184543126e-40	ACADSB	protein_coding
ENSG00000146085.8	4853.08369698647	-3.16238409982779	0.234411818817204	2.39843667478397e-42	2.17625422281989e-39	MMUT	protein_coding
ENSG00000157379.14	2686.89955280874	-3.17524539406397	0.235838521523838	3.49512994603957e-42	3.07807870512538e-39	DHRS1	protein_coding
ENSG00000119673.14	1376.70395894542	-3.23660625134094	0.240569488742827	4.16591556067462e-42	3.56400027523658e-39	ACOT2	protein_coding
ENSG00000100714.17	5390.09258698878	-3.26570573159083	0.243500784463556	7.52538107718716e-42	6.25923571095042e-39	MTHFD1	protein_coding
ENSG00000160323.19	876.47357287428	-3.18213882349407	0.238605006256439	1.94580366370788e-41	1.57468105682176e-38	ADAMTS13	protein_coding
ENSG00000109576.14	802.542613522374	-4.36541004322551	0.32767051915425	2.2527254093769e-41	1.77508834034138e-38	AADAT	protein_coding
ENSG00000117305.15	5464.37891094306	-3.34350136128459	0.250866585492501	2.41551399192909e-41	1.85455731949571e-38	HMGCL	protein_coding
ENSG00000184517.12	510.696390664266	-2.31184171909953	0.174891321079934	3.34227475921129e-41	2.4409203198796e-38	ZFP1	protein_coding
ENSG00000004864.14	3338.93517699143	-2.85243204969066	0.215673770743265	6.03772656694252e-41	4.30446777604666e-38	SLC25A13	protein_coding
ENSG00000155666.12	1087.92405673346	-4.11025179879406	0.311386191564324	1.30989113571606e-40	9.12141169226651e-38	KDM8	protein_coding
ENSG00000166855.9	2727.79340067357	-1.92272901399039	0.146737814283214	1.56009851505313e-40	1.06168249627809e-37	CLPX	protein_coding
ENSG00000151552.12	3684.22322855626	-3.04158364277232	0.231942385049442	3.31340201009862e-40	2.20473769751962e-37	QDPR	protein_coding
ENSG00000119471.15	3301.49169636354	-3.00300453860104	0.232461849902286	4.08537760628211e-39	2.60273322691288e-36	HSDL2	protein_coding
ENSG00000169738.8	15893.4259992691	-4.86024100004605	0.379588872988605	1.4268481224217e-38	8.71920680197405e-36	DCXR	protein_coding
ENSG00000066583.12	1894.3824940603	-2.43341405505516	0.192694074655167	8.08751446342356e-38	4.84328891156583e-35	ISOC1	protein_coding
ENSG00000100889.12	12835.3583846015	-4.72942328790374	0.375210031024023	2.0197178993223e-37	1.16300794345015e-34	PCK2	protein_coding
ENSG00000128928.10	7951.73580952371	-2.50878141274637	0.2002978038852	3.26372568839386e-37	1.84388185448259e-34	IVD	protein_coding
ENSG00000205269.6	383.200295206023	-2.90954337401719	0.231703953207581	3.725775064252e-37	2.02837968634359e-34	TMEM170B	protein_coding
ENSG00000146416.19	4503.60343147395	-2.62436078562241	0.21025968471031	6.59708109632523e-37	3.46555086433801e-34	AIG1	protein_coding
ENSG00000165410.15	2153.1330158067	-3.18086147890264	0.257174885828512	5.18316274722124e-36	2.52412742424215e-33	CFL2	protein_coding
ENSG00000169814.16	2255.88538748306	-2.70688966474183	0.22017746806911	7.6225280208281e-36	3.62287867504216e-33	BTD	protein_coding
ENSG00000241058.4	1091.8211485076	-2.46864314454104	0.203464152410507	4.02000322051707e-35	1.82380237018095e-32	NSUN6	protein_coding
ENSG00000142168.15	14784.4583725346	-2.80124846609537	0.230331196101521	4.40083522041026e-35	1.93785601477565e-32	SOD1	protein_coding
ENSG00000140263.15	4676.48887259602	-4.54697715895462	0.373262541320427	4.48569026926833e-35	1.94659454685075e-32	SORD	protein_coding
ENSG00000165140.11	5345.24319796764	-4.85450566971239	0.399289875129751	4.73998964719257e-35	2.02756442865553e-32	FBP1	protein_coding
ENSG00000118777.12	738.074028936984	-4.35730386636442	0.359589014611173	1.10792357831458e-34	4.48304806830723e-32	ABCG2	protein_coding
ENSG00000060642.11	944.663630322663	-2.07638847327857	0.1742305508608	4.34911703278737e-34	1.60772359645373e-31	PIGV	protein_coding
ENSG00000186480.13	13626.4292897992	-4.60445601604811	0.38580539947306	8.60644806125032e-34	3.14271797924413e-31	INSIG1	protein_coding
ENSG00000163702.20	1356.9614517616	-2.38141754300985	0.200622131164249	8.74505489810832e-34	3.15485757607298e-31	IL17RC	protein_coding
ENSG00000141434.12	93.7309223611402	-7.28954680159649	0.635569592537303	1.02884435800879e-33	3.6243160719832e-31	MEP1B	protein_coding
ENSG00000181192.12	5225.66584694707	-3.23347718971241	0.271717834705408	1.62374824280563e-33	5.65347600399173e-31	DHTKD1	protein_coding
ENSG00000131373.15	851.592648368821	-2.49385536498981	0.212515090504733	4.93395007654894e-33	1.58857276496887e-30	HACL1	protein_coding
ENSG00000173531.15	4671.67471092064	-4.72111798126134	0.402299025329923	8.44581163598038e-33	2.66203092438064e-30	MST1	protein_coding
ENSG00000173334.4	5822.76545143508	-3.2216138272901	0.274060413177672	9.02161345396437e-33	2.78488836754696e-30	TRIB1	protein_coding
ENSG00000119711.13	7959.90018534082	-4.45658999158049	0.379550814367378	9.44937738511614e-33	2.88717048002584e-30	ALDH6A1	protein_coding
ENSG00000138796.17	3658.86535323012	-2.97641266306022	0.253962087121452	1.09429302618473e-32	3.30973899828781e-30	HADH	protein_coding
ENSG00000180346.4	570.351226206572	-2.9767995138679	0.254408720916732	1.36991341801448e-32	4.02150171329487e-30	TIGD2	protein_coding
ENSG00000152078.10	4099.67426559037	-3.87381188662939	0.330236760815399	1.38793852750396e-32	4.03485857563602e-30	TLCD4	protein_coding
ENSG00000137992.14	1775.31775304958	-2.08799582084499	0.180618426153089	2.96468616786676e-32	8.37467904947495e-30	DBT	protein_coding
ENSG00000147853.17	4508.78980396452	-2.27877609483572	0.197707921730216	4.63446653475146e-32	1.28490584675984e-29	AK3	protein_coding
ENSG00000266964.6	26.3210037742241	-5.62832456453369	0.491188728445971	8.39296314470796e-32	2.28464086765446e-29	FXYD1	protein_coding
ENSG00000139531.13	1754.6368120936	-2.21508645445569	0.193390425757754	1.03202491677517e-31	2.7346833701769e-29	SUOX	protein_coding
ENSG00000138030.13	3286.83002155036	-4.73340523269169	0.411381169046641	1.21758275843273e-31	3.19807723997817e-29	KHK	protein_coding
ENSG00000198130.16	2289.21789335192	-2.5112528225378	0.220504162925279	2.83190646363718e-31	7.12569539837716e-29	HIBCH	protein_coding
ENSG00000137106.18	12047.3618506841	-3.00465243809536	0.263836393354335	5.30108579301605e-31	1.29049115366081e-28	GRHPR	protein_coding
ENSG00000101974.14	1288.82843622911	-2.95305579025953	0.260900517140902	1.10876840664019e-30	2.57363196899436e-28	ATP11C	protein_coding
ENSG00000172340.15	5352.56699202649	-2.49441171235128	0.221933250019325	1.51790147261939e-30	3.34195027901783e-28	SUCLG2	protein_coding
ENSG00000139160.13	216.927700014007	-2.24227383290024	0.200311414446638	2.02943700473538e-30	4.34053087377081e-28	ETFBKMT	protein_coding
ENSG00000091831.24	721.618709972695	-5.18652346183721	0.462466399677177	2.24111991919356e-30	4.7257643479164e-28	ESR1	protein_coding
ENSG00000124370.11	541.988306660716	-1.95191370819657	0.175379226693059	4.35816368265541e-30	8.97901652689264e-28	MCEE	protein_coding
ENSG00000107566.14	2756.55940910139	-2.53621534858158	0.227575862018879	4.65725721943408e-30	9.48654781779011e-28	ERLIN1	protein_coding
ENSG00000100577.19	2271.35166435726	-3.71637735949785	0.331433098869938	5.50545698441438e-30	1.09172118201536e-27	GSTZ1	protein_coding
ENSG00000101856.10	10886.4966560791	-2.77366057895498	0.248591946193583	5.49653401387763e-30	1.09172118201536e-27	PGRMC1	protein_coding
ENSG00000121361.5	766.516202768558	-4.27279662676213	0.381967382449611	6.34283480558207e-30	1.24949672752331e-27	KCNJ8	protein_coding
ENSG00000241399.7	371.746777903741	-4.4768570636003	0.40070923001181	6.58922517561031e-30	1.28955012701503e-27	CD302	protein_coding
ENSG00000164188.9	187.899325568455	-5.29100627306277	0.476339137162551	6.68320717916105e-30	1.29944982185467e-27	RANBP3L	protein_coding
ENSG00000109445.11	1120.92760984178	-1.61294201848829	0.145000136503107	7.64279949314376e-30	1.47644093692389e-27	ZNF330	protein_coding
ENSG00000063854.13	5014.77091625135	-2.78323527628176	0.250459632622995	9.20876336425716e-30	1.75629300264938e-27	HAGH	protein_coding
ENSG00000171497.5	1468.28005203322	-1.81686730683637	0.164554817466447	1.36098788988909e-29	2.53118387496577e-27	PPID	protein_coding
ENSG00000170293.9	560.893539711152	-2.61193740440701	0.237696410274014	2.914179364052e-29	5.28844076956419e-27	CMTM8	protein_coding
ENSG00000161533.12	8502.2407500878	-2.73980020826474	0.249226437797799	3.27648091246066e-29	5.83974214058391e-27	ACOX1	protein_coding
ENSG00000151611.16	706.026882842307	-2.09870374899393	0.191932183349898	3.56354149571127e-29	6.31379426071494e-27	MMAA	protein_coding
ENSG00000178537.10	2061.67662360098	-3.48506933741754	0.315741036737531	3.79457119994008e-29	6.64449388536876e-27	SLC25A20	protein_coding
ENSG00000112294.14	4340.58232417834	-3.10533582340346	0.282017289314079	4.07942256830638e-29	7.06070230998832e-27	ALDH5A1	protein_coding
ENSG00000176422.14	1853.0624277778	-2.8850015089212	0.262573476191671	4.20079667324283e-29	7.22899165442013e-27	SPRYD4	protein_coding
ENSG00000116138.13	1040.12472310578	-1.64681719847382	0.151376087226449	1.08139727720068e-28	1.80895411571061e-26	DNAJC16	protein_coding
